�������1;date;full_text;link
IDTechEx Discusses AiP Market Dynamics: Drivers and Challenges in 5G and 6G;April 3, 2024;IDTechEx released its report, “Antenna in Package (AiP) for 5G and 6G 2024-2034: Technologies, Trends, Markets.”;https://www.microwavejournal.com/articles/41737-idtechex-discusses-aip-market-dynamics-drivers-and-challenges-in-5g-and-6g
Global 5G Connections Surge to 1.76B, 66 Percent Growth YoY as North America Leads Charge;March 28, 2024;"In 2023, adoption of 5G connections accelerated, reaching 1.76 billion globally by adding 700 million, according to 5G Americas and data from Omdia.
";https://www.microwavejournal.com/articles/41721-global-5g-connections-surge-to-176b-66-percent-growth-yoy-as-north-america-leads-charge
5G FWA Market Size to Grow by US$110.76B from 2024-2028;March 28, 2024;"The global 5G fixed wireless access (FWA) market size is estimated to grow by USD 110.76 billion from 2024-2028, according to Technavio. 
";https://www.microwavejournal.com/articles/41716-5g-fwa-market-size-to-grow-by-us11076b-from-2024-2028
Telecom Capex Declined in 2023 as Operators Scale Back on 5G;March 28, 2024;"According to a recently published report from Dell'Oro Group, telecom operators are now scaling back their investments in 5G. 
";https://www.microwavejournal.com/articles/41715-telecom-capex-declined-in-2023-as-operators-scale-back-on-5g
Semtech Pioneers the Path to 6G with Advanced 5G Wireless Technologies;March 28, 2024;Highlighting its Tri-Edge™ GN2256 for 50G DWDM applications alongside its expansive 5G wireless portfolio, Semtech is setting new standards for the telecommunications industry;https://www.microwavejournal.com/articles/41714-semtech-pioneers-the-path-to-6g-with-advanced-5g-wireless-technologies
5G Open Innovation Lab Announces its Ninth Startup Batch;March 7, 2024;5G Open Innovation Lab (5G OI Lab) announced its Batch 9 cohort, eleven startups carefully curated from around the globe to embark on 5G OI Lab’s Spring program.;https://www.microwavejournal.com/articles/41659-5g-open-innovation-lab-announces-its-ninth-startup-batch
Keysight and ETS-Lindgren Deliver First Narrowband NTNs OTA Test Solution;March 6, 2024;"Keysight Technologies, Inc. and ETS-Lindgren announce an industry-first over-the-air (OTA) test solution for devices supporting the narrowband non-terrestrial networks (NB-NTNs) technology.
";https://www.microwavejournal.com/articles/41603-keysight-and-ets-lindgren-deliver-first-narrowband-ntns-ota-test-solution
Kontron Launches 5G Mobile Private Network for German Production Facility;February 28, 2024;"Kontron
has launched a commercial 5G campus network at Kontron Europe GmbH's production and warehouse facilities in Augsburg, Germany.
";https://www.microwavejournal.com/articles/41549-kontron-launches-5g-mobile-private-network-for-german-production-facility
Keysight Enables Open RAN mMIMO Innovation ;February 27, 2024;Keysight Technologies, Inc. is enabling Intel to develop and validate mMIMO beamforming designs for use in Open Radio Access Networks (RAN) with Open RAN Studio, accelerating the adoption of Open RAN architectures by mobile network operators.;https://www.microwavejournal.com/articles/41545-keysight-enables-open-ran-mmimo-innovation
Leading the Wave: Taiwanese Companies Join Forces to Expand 5G Access Networking;February 27, 2024;"Pegatron 5G has chosen Aethertek and Metanoia to propel its FR2 product line, supporting various frequency bands.
";https://www.microwavejournal.com/articles/41541-leading-the-wave-taiwanese-companies-join-forces-to-expand-5g-access-networking
Two Setups for 5G RF & RRM Conformance Testing:  TS8980S-4A / TS8980FTA-3A ;February 22, 2024;Rohde & Schwarz is introducing two new setups for 5G RF and RRM conformance testing: the R&S TS8980S-4A and the R&S TS8980FTA-3A.;https://www.microwavejournal.com/articles/41524-rohde-and-schwarz-presents-3gpp-5g-conformance-test-solutions-with-smallest-footprint-on-the-market
Rohde & Schwarz and MediaTek to Showcase 5G NTN-NR Rel.17 Connection at MWC 2024;February 22, 2024;Rohde & Schwarz and MediaTek have teamed up to demonstrate a 5G non-terrestrial network (NTN) new radio (NR) connection based on the latest 3GPP Release 17 specifications at MWC 2024. ;https://www.microwavejournal.com/articles/41523-rohde-and-schwarz-and-mediatek-to-showcase-5g-ntn-nr-rel17-connection-at-mwc-2024
Dense Air Joins Forces with Radisys and EdgeQ to Shape the Ecosystem of Shared Wireless at MWC;February 22, 2024;Dense Air, Radisys and EdgeQ announce a state-of-the-art integrated neutral host as-a-service offering at Mobile World Congress in Barcelona. ;https://www.microwavejournal.com/articles/41521-dense-air-joins-forces-with-radisys-and-edgeq-to-shape-the-ecosystem-of-shared-wireless-at-mwc
