Date,Title,Full Text,Link
"April 05, 2024",Anritsu Introduces Upgraded Protocol Test Solution to Support NTN NB-IoT Devices,"Anritsu Corporation has introduced the protocol test solution for Non-Terrestrial Network (NTN) devices for GEO satellites, which extends the functionality of the signaling te... Read More",/news/details/18146-anritsu-introduces-upgraded-protocol-test-solution-to-support-ntn-nb-iot-devices
"April 05, 2024",Gilat Secures $12 Million Contract Extension from US Army for Satellite-Based Mission-Critical Communications,"Gilat Satellite Networks, a worldwide leader in satellite networking technology, solutions and services, has recently announced that the United States Army awarded a $12 milli... Read More",/news/details/18140-gilat-secures-12-million-contract-extension-from-us-army-for-satellite-based-mission-critical-communications
"April 04, 2024",Ultra Launches New Series of Troposcatter Systems for Beyond-Line-of-Site (BLOS) Communications,Ultra Intelligence & Communications announced that it has successfully demonstrated its Archer family of beyond-line-of-site (BLOS) troposcatter communications systems. Ultra ... Read More,/news/details/18139-ultra-launches-new-series-of-troposcatter-systems-for-beyond-line-of-site-blos-communications
"April 04, 2024",Terran Orbital Introduces Next-Generation Smallsat GEO Solution for Satellites above 500 kg,"Terran Orbital Corporation, a global company in satellite-based solutions primarily serving the aerospace and defense industries, announced their entrance into the small satel... Read More",/news/details/18134-terran-orbital-introduces-next-generation-smallsat-geo-solution-for-satellites-above-500-kg
"April 03, 2024",MVG to Install its Antenna Measurement Technology at ESA's New Hertz 2.0 Test Facility in the Netherlands,"MVG has been awarded two contracts by the European Space Agency (ESA) to complement the new and improved radio frequency test facility, Hertz 2.0 (Hybrid European RF and anten... Read More",/news/details/18130-mvg-to-install-its-antenna-measurement-technology-at-esa-s-new-hertz-2-0-test-facility-in-the-netherlands
"April 03, 2024",Hughes Announces Commercial Availability of its Electronically Steerable Antenna-Based SATCOM Terminal,"Hughes Network Systems, LLC (HUGHES), an EchoStar company, has announced the commercial availability of the Hughes HL1120W Terminal. This electronically steerable antenna-base... Read More",/news/details/18131-hughes-announces-commercial-availability-of-its-electronically-steerable-antenna-based-satcom-terminal
"April 01, 2024","SATELLITE 2024 Wraps Up with Record Attendance, Industry Insights, and Technological Showcases","The 43rd annual SATELLITE Conference and Exhibition (SATELLITE 2024) recently concluded its highly anticipated event in Washington DC, from March 18-21. The event had an impre... Read More",/news/details/18120-satellite-2024-wraps-up-with-record-attendance-industry-insights-and-technological-showcases
"April 01, 2024",Phasetrum Launches the World's First Scalable Antenna in Package (AIP) Phase Tuner,Phasetrum has introduced what it claims to be the world’s first scalable Antenna-in-package (AIP) Phase Tuner to provide Ka-band signal amplification and phase adjustment. Bas... Read More,/news/details/18116-phasetrum-launches-the-world-s-first-scalable-antenna-in-package-aip-phase-tuner
"March 29, 2024",Quantic Electronics to Showcase Solutions for Space Applications at the 2024 Space Symposium in April,"Quantic® Electronics, announced that it will exhibit at the 2024 Space Symposium, the premier space industry event hosted at the Broadmoor in Colorado Springs, CO, April 8-11,... Read More",/news/details/18111-quantic-electronics-to-showcase-solutions-for-space-applications-at-the-2024-space-symposium-in-april
"March 29, 2024","Quectel Introduces New Series of High-Performing 5G, GNSS and 5-in-1 Combo Antennas","Quectel Wireless Solutions, a global IoT solutions provider, has made additions to its comprehensive range of antennas for IoT devices and deployments. The latest launches inc... Read More",/news/details/18110-quectel-introduces-new-series-of-high-performing-5g-gnss-and-5-in-1-combo-antennas
"March 28, 2024",Ansys Forms OEM Partnership with SynMatrix to Expand its Electronics Portfolio and Accelerate RF Filter Design,Ansys has announced a new OEM partnership with SynMatrix to streamline RF filter design workflows for wireless communications applications. SynMatrix develops RF filter design... Read More,/news/details/18105-ansys-forms-oem-partnership-with-synmatrix-to-expand-its-electronics-portfolio-and-accelerate-rf-filter-design
"March 27, 2024",ALifecom Introduces New IoT Platform for Non-Terrestrial Networks,"At the Satellite 2024 event last week, ALifecom announced the release of its Non-Terrestrial Networks IoT Platform. This platform is the industry’s first integrated solution e... Read More",/news/details/18097-alifecom-introduces-new-iot-platform-for-non-terrestrial-networks
"March 26, 2024",Hanwha Phasor to Launch New Active Electronically Steered Antenna for Commercial and Military Applications,"Hanwha Phasor, a UK-based satellite communications company, announced the Phasor L3300B, a new land antenna, for mobile communications that will be available in Q3 of 2024. Th... Read More",/news/details/18091-hanwha-phasor-to-launch-new-active-electronically-steered-antenna-for-commercial-and-military-applications
"March 26, 2024",DoD Extends EchoStar Contract to Evaluate 5G Applications and LEO/GEO Satcom Resiliency,"EchoStar, a global provider of satellite communication and Internet services, has announced the contract extension awarded for 5G deployments at bases in Washington and Hawaii... Read More",/news/details/18094-dod-extends-echostar-contract-to-evaluate-5g-applications-and-leo-geo-satcom-resiliency
"March 26, 2024",Sivers Semiconductor Extends Partnership with European Satellite Company,"Sivers Semiconductors AB, a supplier of integrated chips and modules for the most advanced communications and sensor solutions, has announced that its subsidiary Sivers Wirele... Read More",/news/details/18090-sivers-semiconductor-extends-partnership-with-european-satellite-company
"March 22, 2024",Keysight and Capgemini Validate 5G New Radio RAN Solution for NTN Test Scenarios,Keysight Technologies and Capgemini have successfully validated non-terrestrial network (NTN) test scenarios in a set-up using Capgemini’s 5G New Radio (NR) central unit (CU) ... Read More,/news/details/18076-keysight-and-capgemini-validate-5g-new-radio-ran-solution-for-ntn-test-scenarios
"March 21, 2024",u-blox Launches New L1/L5-Band GNSS Platform with Enhanced Multipath Mitigation and Meter-Level Positioning,"u-blox, a global provider of leading positioning and wireless communication technologies and services, has announced F10, the company’s first dual-band GNSS (Global Navigation... Read More",/news/details/18070-u-blox-launches-new-l1-l5-band-gnss-platform-with-enhanced-multipath-mitigation-and-meter-level-positioning
"March 21, 2024",SWISSto12 Accelerates Global Expansion by Expanding its Production Facility in Switzerland,"SWISSto12, one of Europe’s fastest-growing aerospace companies and a leading satellite and Radio Frequency product manufacturer, announced its continued global expansion. The ... Read More",/news/details/18074-swissto12-accelerates-global-expansion-by-expanding-its-production-facility-in-switzerland
