title,date,full_text,link
Brain-inspired chaotic spiking backpropagation,"Mar 29, 2024","Since it was discovered in the 1980s that learning in the rabbit brain utilizes chaos, this nonlinear and initially value-sensitive dynamical behavior has been increasingly recognized as integral to brain learning.",https://techxplore.com/news/2024-03-brain-chaotic-spiking-backpropagation.html
A biased edge enhancement method for truss-based community search,"Mar 29, 2024","Community Search, which targets a cohesive and meaningful community containing the query node, has drawn intense research interest and had extensive applications in various real-world networks recently.",https://techxplore.com/news/2024-03-biased-edge-method-truss-based.html
Q&A: How to train AI when you don't have enough data,"Mar 28, 2024",Artificial intelligence excels at sorting through information and detecting patterns or trends. But these machine learning algorithms need to be trained with large amounts of data first.,https://techxplore.com/news/2024-03-qa-ai-dont.html
Artificial intelligence boosts super-resolution microscopy,"Mar 28, 2024",Generative artificial intelligence (AI) might be best known from text or image-creating applications like ChatGPT or Stable Diffusion. But its usefulness beyond that is being shown in more and more different scientific fields.,https://techxplore.com/news/2024-03-artificial-intelligence-boosts-super-resolution.html
"New software enables blind and low-vision users to create interactive, accessible charts","Mar 27, 2024","A growing number of tools enable users to make online data representations, like charts, that are accessible for people who are blind or have low vision. However, most tools require an existing visual chart that can then ...",https://techxplore.com/news/2024-03-software-enables-vision-users-interactive.html
How long before quantum computers can benefit society? That's Google's US$5 million question,"Mar 27, 2024",Google and the XPrize Foundation have launched a competition worth US$5 million (£4 million) to develop real-world applications for quantum computers that benefit society—by speeding up progress on one of the UN Sustainable ...,https://techxplore.com/news/2024-03-quantum-benefit-society-google-us5.html
How AI and a popular card game can help engineers predict catastrophic failure by finding the absence of a pattern,"Mar 26, 2024","Humans are very good at spotting patterns, or repeating features people can recognize. For instance, ancient Polynesians navigated across the Pacific by recognizing many patterns, from the stars' constellations to more subtle ...",https://techxplore.com/news/2024-03-ai-popular-card-game-catastrophic.html
Large language models use a surprisingly simple mechanism to retrieve some stored knowledge,"Mar 25, 2024","Large language models, such as those that power popular artificial intelligence chatbots like ChatGPT, are incredibly complex. Even though these models are being used as tools in many areas, such as customer support, code ...",https://techxplore.com/news/2024-03-large-language-simple-mechanism-knowledge.html
Novel quantum algorithm proposed for high-quality solutions to combinatorial optimization problems,"Mar 25, 2024","Combinatorial optimization problems (COPs) have applications in many different fields such as logistics, supply chain management, machine learning, material design and drug discovery, among others, for finding the optimal ...",https://techxplore.com/news/2024-03-quantum-algorithm-high-quality-solutions.html
My search for the mysterious missing secretary who shaped chatbot history,"Mar 25, 2024","The Massachusetts Institute of Technology's (MIT) Distinctive Collections archive is quiet while the blizzard blows outside. Silence seems to be accumulating with the falling snow. I am the only researcher in the archive, ...",https://techxplore.com/news/2024-03-mysterious-secretary-chatbot-history.html
Brain-inspired chaotic spiking backpropagation,"Mar 29, 2024","Since it was discovered in the 1980s that learning in the rabbit brain utilizes chaos, this nonlinear and initially value-sensitive dynamical behavior has been increasingly recognized as integral to brain learning.",https://techxplore.com/news/2024-03-brain-chaotic-spiking-backpropagation.html
A biased edge enhancement method for truss-based community search,"Mar 29, 2024","Community Search, which targets a cohesive and meaningful community containing the query node, has drawn intense research interest and had extensive applications in various real-world networks recently.",https://techxplore.com/news/2024-03-biased-edge-method-truss-based.html
Q&A: How to train AI when you don't have enough data,"Mar 28, 2024",Artificial intelligence excels at sorting through information and detecting patterns or trends. But these machine learning algorithms need to be trained with large amounts of data first.,https://techxplore.com/news/2024-03-qa-ai-dont.html
Artificial intelligence boosts super-resolution microscopy,"Mar 28, 2024",Generative artificial intelligence (AI) might be best known from text or image-creating applications like ChatGPT or Stable Diffusion. But its usefulness beyond that is being shown in more and more different scientific fields.,https://techxplore.com/news/2024-03-artificial-intelligence-boosts-super-resolution.html
"New software enables blind and low-vision users to create interactive, accessible charts","Mar 27, 2024","A growing number of tools enable users to make online data representations, like charts, that are accessible for people who are blind or have low vision. However, most tools require an existing visual chart that can then ...",https://techxplore.com/news/2024-03-software-enables-vision-users-interactive.html
How long before quantum computers can benefit society? That's Google's US$5 million question,"Mar 27, 2024",Google and the XPrize Foundation have launched a competition worth US$5 million (£4 million) to develop real-world applications for quantum computers that benefit society—by speeding up progress on one of the UN Sustainable ...,https://techxplore.com/news/2024-03-quantum-benefit-society-google-us5.html
How AI and a popular card game can help engineers predict catastrophic failure by finding the absence of a pattern,"Mar 26, 2024","Humans are very good at spotting patterns, or repeating features people can recognize. For instance, ancient Polynesians navigated across the Pacific by recognizing many patterns, from the stars' constellations to more subtle ...",https://techxplore.com/news/2024-03-ai-popular-card-game-catastrophic.html
Large language models use a surprisingly simple mechanism to retrieve some stored knowledge,"Mar 25, 2024","Large language models, such as those that power popular artificial intelligence chatbots like ChatGPT, are incredibly complex. Even though these models are being used as tools in many areas, such as customer support, code ...",https://techxplore.com/news/2024-03-large-language-simple-mechanism-knowledge.html
Novel quantum algorithm proposed for high-quality solutions to combinatorial optimization problems,"Mar 25, 2024","Combinatorial optimization problems (COPs) have applications in many different fields such as logistics, supply chain management, machine learning, material design and drug discovery, among others, for finding the optimal ...",https://techxplore.com/news/2024-03-quantum-algorithm-high-quality-solutions.html
My search for the mysterious missing secretary who shaped chatbot history,"Mar 25, 2024","The Massachusetts Institute of Technology's (MIT) Distinctive Collections archive is quiet while the blizzard blows outside. Silence seems to be accumulating with the falling snow. I am the only researcher in the archive, ...",https://techxplore.com/news/2024-03-mysterious-secretary-chatbot-history.html
Training artificial neural networks to process images from a child's perspective,"Mar 20, 2024","Psychology studies have demonstrated that by the age of 4–5, young children have developed intricate visual models of the world around them. These internal visual models allow them to outperform advanced computer vision ...",https://techxplore.com/news/2024-03-artificial-neural-networks-images-child.html
Who wrote this? Engineers discover novel method to identify AI-generated text,"Mar 20, 2024","Computer scientists at Columbia Engineering have developed a transformative method for detecting AI-generated text. Their findings promise to revolutionize how we authenticate digital content, addressing mounting concerns ...",https://techxplore.com/news/2024-03-wrote-method-ai-generated-text.html
New method uses classical computers to check accuracy of complex quantum systems,"Mar 20, 2024","Quantum computers of the future may ultimately outperform their classical counterparts to solve intractable problems in computer science, medicine, business, chemistry, physics, and other fields. But the machines are not ...",https://techxplore.com/news/2024-03-method-classical-accuracy-complex-quantum.html
"Introducing Floorlocator, a system that enhances indoor navigation","Mar 20, 2024","Indoor positioning is transforming with applications demanding precise location tracking. Traditional methods, including fingerprinting and sensor-based techniques, though widely used, face significant drawbacks, such as ...",https://techxplore.com/news/2024-03-floorlocator-indoor.html
New survey on deep learning solutions for cellular traffic prediction,"Mar 20, 2024","The bustling streets of a modern city are filled with countless individuals using their smartphones for streaming videos, sending messages and browsing the web. In the era of rapidly expanding 5G networks and the omnipresence ...",https://techxplore.com/news/2024-03-survey-deep-solutions-cellular-traffic.html
"Machine learning, quantum computing may transform health care, including diagnosing pneumonia","Mar 19, 2024","Pneumonia, an infection in the lungs that causes difficulty breathing, is most commonly diagnosed through chest X-rays. Typically, those chest X-rays are read by radiologists, but workforce shortages mean that in the future, ...",https://techxplore.com/news/2024-03-machine-quantum-health-pneumonia.html
Artificial nanofluidic synapses can store computational memory,"Mar 19, 2024","Memory, or the ability to store information in a readily accessible way, is an essential operation in computers and human brains. A key difference is that while brain information processing involves performing computations ...",https://techxplore.com/news/2024-03-artificial-nanofluidic-synapses-memory.html
Pixel perfect: Engineers' new approach brings images into focus,"Mar 18, 2024","Johns Hopkins researchers have developed an efficient new method to turn blurry images into clear, sharp ones. Called Progressively Deblurring Radiance Field (PDRF), this approach deblurs images 15 times faster than previous ...",https://techxplore.com/news/2024-03-pixel-approach-images-focus.html
New algorithm unlocks high-resolution insights for computer vision,"Mar 18, 2024","Imagine yourself glancing at a busy street for a few moments, then trying to sketch the scene you saw from memory. Most people could draw the rough positions of the major objects like cars, people, and crosswalks, but almost ...",https://techxplore.com/news/2024-03-algorithm-high-resolution-insights-vision.html
Pan-sharpening methodology enhances remote sensing images,"Mar 18, 2024",Researchers led by Prof. Xie Chengjun and Assoc. Prof. Zhang Jie from the Hefei Institutes of Physical Science of the Chinese Academy of Sciences have introduced an innovative pan-sharpening method to improve remote sensing ...,https://techxplore.com/news/2024-03-pan-sharpening-methodology-remote-images.html
Redefining quantum machine learning,"Mar 14, 2024",Machine learning is a branch of artificial intelligence (AI) and computer science that focuses on the use of data and algorithms to allow computers to learn without explicitly being programmed. While discussions surrounding ...,https://techxplore.com/news/2024-03-redefining-quantum-machine.html
Researchers help robots navigate efficiently in uncertain environments,"Mar 14, 2024","If a robot traveling to a destination has just two possible paths, it needs only to compare the routes' travel time and probability of success. But if the robot is traversing a complex environment with many possible paths, ...",https://techxplore.com/news/2024-03-robots-efficiently-uncertain-environments.html
PIANO: A new operator learning framework that deciphers and incorporates invariants from the PDE series,"Mar 14, 2024","In a recent article published in the National Science Review, researchers have proposed a new operator learning framework called PIANO. PIANO uses self-supervised learning to extract representations containing physical invariants ...",https://techxplore.com/news/2024-03-piano-framework-deciphers-incorporates-invariants.html
Automatic design of metaheuristics: The future of optimization?,"Mar 14, 2024","To discourage the inefficient manual invention and configuration of new metaheuristic optimization algorithms, a research team at IRIDIA, the artificial intelligence laboratory of the Université Libre de Bruxelles, studied ...",https://techxplore.com/news/2024-03-automatic-metaheuristics-future-optimization.html
"Intel introduces approach to boost power efficiency, reliability of packaged chiplet ecosystems","Mar 13, 2024","The integration of electronic chips in commercial devices has significantly evolved over the past decades, with engineers devising various integration strategies and solutions. Initially, computers contained a central processor ...",https://techxplore.com/news/2024-03-intel-approach-boost-power-efficiency.html
From recurrent networks to GPT-4: Measuring algorithmic progress in language models,"Mar 13, 2024","In 2012, the best language models were small recurrent networks that struggled to form coherent sentences. Fast forward to today, and large language models like GPT-4 outperform most students on the SAT. How has this rapid ...",https://techxplore.com/news/2024-03-recurrent-networks-gpt-algorithmic-language.html
Opening new doors in the VR world—literally,"Mar 13, 2024","Room-scale virtual reality (VR) is one where users explore a VR environment by physically walking through it. The technology provides many benefits, given its highly immersive experience. Yet the drawback is that it requires ...",https://techxplore.com/news/2024-03-doors-vr-world-literally.html
Staying in the loop: How superconductors are helping computers 'remember',"Mar 13, 2024","Computers work in digits—0s and 1s, to be exact. Their calculations are digital; their processes are digital; even their memories are digital. All of which require extraordinary power resources. As we look to the next evolution ...",https://techxplore.com/news/2024-03-staying-loop-superconductors.html
Researchers explore quantum computing's ability to speed solutions for financial sector,"Mar 12, 2024","Over the next decade, quantum computers are expected to have a transformative impact on numerous industry sectors, as they surpass the computational capabilities of classical computers. In finance, for example, quantum computing ...",https://techxplore.com/news/2024-03-explore-quantum-ability-solutions-financial.html
Researchers design new analog chip architecture with high precision,"Mar 12, 2024","While most computing in the world is still digital, the data around us is captured in analog via sensors–images through cameras, temperature, and sound, for example, and has to be converted into a digital form for precision. ...",https://techxplore.com/news/2024-03-analog-chip-architecture-high-precision.html
Brain-inspired chaotic spiking backpropagation,"Mar 29, 2024","Since it was discovered in the 1980s that learning in the rabbit brain utilizes chaos, this nonlinear and initially value-sensitive dynamical behavior has been increasingly recognized as integral to brain learning.",https://techxplore.com/news/2024-03-brain-chaotic-spiking-backpropagation.html
A biased edge enhancement method for truss-based community search,"Mar 29, 2024","Community Search, which targets a cohesive and meaningful community containing the query node, has drawn intense research interest and had extensive applications in various real-world networks recently.",https://techxplore.com/news/2024-03-biased-edge-method-truss-based.html
Q&A: How to train AI when you don't have enough data,"Mar 28, 2024",Artificial intelligence excels at sorting through information and detecting patterns or trends. But these machine learning algorithms need to be trained with large amounts of data first.,https://techxplore.com/news/2024-03-qa-ai-dont.html
